"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;";"0.0";"0";"1993";"617";"0";"617";"1376";"414298";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;";"0.0";"0";"1500";"277";"0";"277";"1223";"414638";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;";"0.0";"0";"1500";"277";"0";"277";"1223";"414638";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;";"0.0";"0";"1451";"256";"0";"256";"1195";"414659";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;";"0.0";"0";"216";"90";"0";"90";"126";"414825";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;";"0.0";"0";"1030";"101";"0";"101";"929";"414814";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;";"0.0";"0";"198";"64";"0";"64";"134";"414851";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;uncultured;";"0.0";"0";"6";"1";"0";"1";"5";"414914";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;";"0.0";"0";"2";"2";"0";"2";"0";"414913";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;";"0.0";"0";"2";"2";"0";"2";"0";"414913";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;";"0.0";"0";"47";"19";"0";"19";"28";"414896";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;";"0.0";"0";"47";"19";"0";"19";"28";"414896";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;";"0.0";"0";"83";"61";"0";"61";"22";"414854";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;";"0.0";"0";"83";"61";"0";"61";"22";"414854";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;";"0.0";"0";"27";"22";"0";"22";"5";"414893";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;";"0.0";"0";"27";"22";"0";"22";"5";"414893";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;";"0.0";"0";"56";"39";"0";"39";"17";"414876";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;";"0.0";"0";"28";"17";"0";"17";"11";"414898";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;";"0.0";"0";"9";"6";"0";"6";"3";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanotorris;";"0.0";"0";"14";"13";"0";"13";"1";"414902";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;uncultured;";"0.0";"0";"4";"3";"0";"3";"1";"414912";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;";"0.0";"0";"9";"6";"0";"6";"3";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;Methanopyrales;";"0.0";"0";"9";"6";"0";"6";"3";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;";"0.0";"0";"9";"6";"0";"6";"3";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae;Methanopyrus;";"0.0";"0";"9";"6";"0";"6";"3";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;";"0.0";"0";"401";"273";"0";"273";"128";"414642";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;";"0.0";"0";"195";"112";"0";"112";"83";"414803";"6"
